"acq_PA","acq_PE","acq_tot","sim_id","scenario"
34,26,60,1,0
34,27,61,2,0
36,30,66,3,0
47,32,79,4,0
40,30,70,5,0
49,36,85,6,0
33,34,67,7,0
43,35,78,8,0
42,43,85,9,0
41,39,80,10,0
47,36,83,11,0
39,31,70,12,0
47,38,85,13,0
43,43,86,14,0
35,37,72,15,0
38,39,77,16,0
40,30,70,17,0
45,29,74,18,0
51,46,97,19,0
42,34,76,20,0
37,30,67,21,0
41,36,77,22,0
39,33,72,23,0
32,39,71,24,0
40,35,75,25,0
32,37,69,26,0
29,32,61,27,0
52,38,90,28,0
45,31,76,29,0
44,35,79,30,0
31,42,73,31,0
51,22,73,32,0
28,43,71,33,0
38,37,75,34,0
46,42,88,35,0
49,32,81,36,0
43,37,80,37,0
38,31,69,38,0
38,41,79,39,0
34,35,69,40,0
37,29,66,41,0
42,37,79,42,0
33,31,64,43,0
49,43,92,44,0
43,30,73,45,0
44,34,78,46,0
46,39,85,47,0
35,32,67,48,0
39,30,69,49,0
43,31,74,50,0
40,38,78,51,0
42,44,86,52,0
41,37,78,53,0
47,35,82,54,0
50,42,92,55,0
39,32,71,56,0
29,33,62,57,0
38,17,55,58,0
44,39,83,59,0
49,47,96,60,0
36,35,71,61,0
36,35,71,62,0
31,28,59,63,0
50,32,82,64,0
44,36,80,65,0
53,37,90,66,0
40,34,74,67,0
41,27,68,68,0
37,34,71,69,0
38,27,65,70,0
42,27,69,71,0
40,27,67,72,0
34,40,74,73,0
42,32,74,74,0
40,28,68,75,0
48,37,85,76,0
42,36,78,77,0
36,31,67,78,0
33,21,54,79,0
33,40,73,80,0
38,33,71,81,0
41,33,74,82,0
40,28,68,83,0
42,31,73,84,0
29,33,62,85,0
40,38,78,86,0
41,25,66,87,0
34,28,62,88,0
40,29,69,89,0
38,30,68,90,0
35,42,77,91,0
42,26,68,92,0
44,40,84,93,0
43,46,89,94,0
44,24,68,95,0
44,37,81,96,0
36,23,59,97,0
47,24,71,98,0
35,34,69,99,0
36,27,63,100,0
35,33,68,101,0
42,33,75,102,0
41,30,71,103,0
38,32,70,104,0
40,38,78,105,0
40,39,79,106,0
46,46,92,107,0
31,31,62,108,0
36,27,63,109,0
41,35,76,110,0
42,44,86,111,0
37,32,69,112,0
43,40,83,113,0
34,31,65,114,0
37,34,71,115,0
48,49,97,116,0
40,42,82,117,0
40,32,72,118,0
32,30,62,119,0
41,35,76,120,0
44,26,70,121,0
38,45,83,122,0
30,30,60,123,0
31,25,56,124,0
44,34,78,125,0
40,34,74,126,0
45,38,83,127,0
45,49,94,128,0
44,35,79,129,0
45,44,89,130,0
36,31,67,131,0
36,29,65,132,0
47,44,91,133,0
46,45,91,134,0
37,33,70,135,0
37,29,66,136,0
49,21,70,137,0
49,46,95,138,0
34,36,70,139,0
46,34,80,140,0
25,23,48,141,0
42,37,79,142,0
36,35,71,143,0
39,52,91,144,0
45,38,83,145,0
36,30,66,146,0
45,39,84,147,0
42,36,78,148,0
32,34,66,149,0
45,25,70,150,0
45,34,79,151,0
45,29,74,152,0
44,37,81,153,0
40,26,66,154,0
36,19,55,155,0
43,34,77,156,0
48,27,75,157,0
34,30,64,158,0
27,25,52,159,0
46,32,78,160,0
36,25,61,161,0
48,40,88,162,0
43,34,77,163,0
44,32,76,164,0
33,30,63,165,0
28,31,59,166,0
34,47,81,167,0
47,32,79,168,0
38,34,72,169,0
36,39,75,170,0
39,29,68,171,0
47,39,86,172,0
44,35,79,173,0
23,29,52,174,0
38,44,82,175,0
41,32,73,176,0
36,25,61,177,0
47,27,74,178,0
47,44,91,179,0
35,27,62,180,0
48,40,88,181,0
31,41,72,182,0
35,26,61,183,0
48,38,86,184,0
52,38,90,185,0
35,41,76,186,0
46,43,89,187,0
38,37,75,188,0
43,42,85,189,0
41,32,73,190,0
32,29,61,191,0
25,27,52,192,0
38,30,68,193,0
42,34,76,194,0
45,49,94,195,0
36,38,74,196,0
27,30,57,197,0
37,28,65,198,0
39,36,75,199,0
39,26,65,200,0
42,54,96,201,0
44,32,76,202,0
34,35,69,203,0
45,44,89,204,0
43,42,85,205,0
48,34,82,206,0
33,29,62,207,0
44,39,83,208,0
28,22,50,209,0
38,35,73,210,0
34,29,63,211,0
47,41,88,212,0
34,35,69,213,0
45,39,84,214,0
33,34,67,215,0
39,23,62,216,0
48,39,87,217,0
39,32,71,218,0
37,44,81,219,0
44,28,72,220,0
43,37,80,221,0
49,32,81,222,0
51,35,86,223,0
46,30,76,224,0
45,31,76,225,0
46,36,82,226,0
46,44,90,227,0
41,30,71,228,0
33,33,66,229,0
52,45,97,230,0
44,46,90,231,0
36,33,69,232,0
29,32,61,233,0
35,32,67,234,0
33,35,68,235,0
44,29,73,236,0
45,36,81,237,0
40,27,67,238,0
40,34,74,239,0
39,31,70,240,0
35,31,66,241,0
28,30,58,242,0
46,41,87,243,0
46,38,84,244,0
45,30,75,245,0
41,44,85,246,0
39,31,70,247,0
25,36,61,248,0
56,47,103,249,0
28,30,58,250,0
36,35,71,251,0
32,37,69,252,0
36,27,63,253,0
41,39,80,254,0
59,50,109,255,0
43,34,77,256,0
46,32,78,257,0
42,33,75,258,0
38,38,76,259,0
48,36,84,260,0
37,28,65,261,0
31,28,59,262,0
38,43,81,263,0
47,41,88,264,0
42,42,84,265,0
34,32,66,266,0
44,45,89,267,0
41,42,83,268,0
40,35,75,269,0
49,42,91,270,0
46,39,85,271,0
35,25,60,272,0
42,33,75,273,0
45,31,76,274,0
29,26,55,275,0
42,42,84,276,0
44,34,78,277,0
28,31,59,278,0
32,35,67,279,0
34,36,70,280,0
38,30,68,281,0
33,41,74,282,0
38,35,73,283,0
42,37,79,284,0
33,28,61,285,0
41,35,76,286,0
36,30,66,287,0
38,33,71,288,0
45,34,79,289,0
39,35,74,290,0
33,31,64,291,0
38,34,72,292,0
40,31,71,293,0
38,28,66,294,0
55,42,97,295,0
42,34,76,296,0
40,30,70,297,0
42,29,71,298,0
45,29,74,299,0
38,36,74,300,0
45,33,78,301,0
43,44,87,302,0
48,34,82,303,0
33,45,78,304,0
42,31,73,305,0
46,38,84,306,0
45,38,83,307,0
40,40,80,308,0
31,40,71,309,0
34,27,61,310,0
47,33,80,311,0
44,36,80,312,0
37,32,69,313,0
40,32,72,314,0
33,40,73,315,0
44,36,80,316,0
44,32,76,317,0
41,38,79,318,0
42,33,75,319,0
50,40,90,320,0
30,37,67,321,0
49,37,86,322,0
37,32,69,323,0
42,29,71,324,0
25,25,50,325,0
43,38,81,326,0
35,36,71,327,0
47,43,90,328,0
42,46,88,329,0
44,45,89,330,0
38,22,60,331,0
40,38,78,332,0
36,29,65,333,0
44,39,83,334,0
33,33,66,335,0
48,36,84,336,0
38,30,68,337,0
42,27,69,338,0
37,34,71,339,0
49,28,77,340,0
37,21,58,341,0
38,28,66,342,0
53,29,82,343,0
29,43,72,344,0
52,36,88,345,0
42,35,77,346,0
42,33,75,347,0
37,29,66,348,0
34,29,63,349,0
39,28,67,350,0
37,39,76,351,0
34,33,67,352,0
33,28,61,353,0
44,39,83,354,0
42,39,81,355,0
39,45,84,356,0
44,33,77,357,0
42,38,80,358,0
35,27,62,359,0
38,32,70,360,0
43,34,77,361,0
42,47,89,362,0
35,39,74,363,0
33,29,62,364,0
37,28,65,365,0
32,33,65,366,0
38,28,66,367,0
48,39,87,368,0
34,23,57,369,0
48,41,89,370,0
35,33,68,371,0
52,42,94,372,0
35,31,66,373,0
43,32,75,374,0
46,34,80,375,0
51,42,93,376,0
41,37,78,377,0
47,36,83,378,0
46,31,77,379,0
44,38,82,380,0
35,32,67,381,0
44,31,75,382,0
41,38,79,383,0
46,30,76,384,0
47,39,86,385,0
36,19,55,386,0
41,29,70,387,0
37,33,70,388,0
23,30,53,389,0
37,31,68,390,0
42,33,75,391,0
43,33,76,392,0
50,43,93,393,0
45,39,84,394,0
37,30,67,395,0
26,22,48,396,0
44,47,91,397,0
34,27,61,398,0
38,22,60,399,0
42,33,75,400,0
47,39,86,401,0
32,29,61,402,0
41,19,60,403,0
38,22,60,404,0
35,32,67,405,0
42,34,76,406,0
40,37,77,407,0
45,46,91,408,0
52,48,100,409,0
46,29,75,410,0
49,34,83,411,0
55,35,90,412,0
44,33,77,413,0
41,28,69,414,0
44,36,80,415,0
43,30,73,416,0
38,45,83,417,0
43,41,84,418,0
37,34,71,419,0
37,38,75,420,0
37,38,75,421,0
28,21,49,422,0
34,38,72,423,0
34,22,56,424,0
44,32,76,425,0
37,42,79,426,0
33,36,69,427,0
35,19,54,428,0
43,44,87,429,0
34,30,64,430,0
38,38,76,431,0
33,44,77,432,0
39,31,70,433,0
38,29,67,434,0
31,26,57,435,0
49,47,96,436,0
44,33,77,437,0
38,39,77,438,0
25,27,52,439,0
39,37,76,440,0
46,37,83,441,0
43,39,82,442,0
43,31,74,443,0
40,30,70,444,0
38,34,72,445,0
32,29,61,446,0
44,29,73,447,0
38,32,70,448,0
42,39,81,449,0
33,41,74,450,0
46,41,87,451,0
27,29,56,452,0
33,41,74,453,0
26,26,52,454,0
39,49,88,455,0
31,29,60,456,0
40,31,71,457,0
34,38,72,458,0
40,34,74,459,0
50,21,71,460,0
36,34,70,461,0
44,38,82,462,0
27,33,60,463,0
36,26,62,464,0
35,33,68,465,0
42,39,81,466,0
27,30,57,467,0
39,31,70,468,0
30,38,68,469,0
55,22,77,470,0
38,32,70,471,0
45,35,80,472,0
45,36,81,473,0
33,26,59,474,0
45,39,84,475,0
46,36,82,476,0
37,20,57,477,0
31,33,64,478,0
52,41,93,479,0
39,31,70,480,0
46,37,83,481,0
54,41,95,482,0
41,36,77,483,0
39,41,80,484,0
43,49,92,485,0
33,46,79,486,0
33,30,63,487,0
41,37,78,488,0
47,37,84,489,0
38,29,67,490,0
44,34,78,491,0
35,31,66,492,0
44,58,102,493,0
45,38,83,494,0
41,36,77,495,0
38,34,72,496,0
43,39,82,497,0
45,39,84,498,0
37,37,74,499,0
45,33,78,500,0
48,41,89,501,0
40,43,83,502,0
42,33,75,503,0
35,28,63,504,0
42,37,79,505,0
44,38,82,506,0
46,37,83,507,0
38,29,67,508,0
43,38,81,509,0
51,43,94,510,0
46,34,80,511,0
45,35,80,512,0
38,30,68,513,0
49,32,81,514,0
40,46,86,515,0
35,31,66,516,0
39,32,71,517,0
36,34,70,518,0
34,34,68,519,0
36,30,66,520,0
32,30,62,521,0
51,35,86,522,0
45,44,89,523,0
44,30,74,524,0
36,25,61,525,0
47,43,90,526,0
41,53,94,527,0
38,45,83,528,0
37,27,64,529,0
39,35,74,530,0
44,37,81,531,0
49,46,95,532,0
44,31,75,533,0
41,36,77,534,0
36,23,59,535,0
44,37,81,536,0
41,29,70,537,0
42,19,61,538,0
36,25,61,539,0
43,48,91,540,0
31,31,62,541,0
35,21,56,542,0
44,38,82,543,0
50,31,81,544,0
33,40,73,545,0
46,37,83,546,0
37,33,70,547,0
42,32,74,548,0
28,27,55,549,0
38,38,76,550,0
34,33,67,551,0
42,33,75,552,0
40,32,72,553,0
47,37,84,554,0
37,31,68,555,0
42,36,78,556,0
56,33,89,557,0
41,40,81,558,0
36,41,77,559,0
42,44,86,560,0
50,29,79,561,0
37,37,74,562,0
29,27,56,563,0
46,36,82,564,0
37,26,63,565,0
41,31,72,566,0
42,22,64,567,0
44,42,86,568,0
35,27,62,569,0
35,31,66,570,0
34,38,72,571,0
47,42,89,572,0
34,29,63,573,0
29,26,55,574,0
38,31,69,575,0
38,29,67,576,0
42,38,80,577,0
40,36,76,578,0
33,29,62,579,0
48,37,85,580,0
42,34,76,581,0
42,37,79,582,0
40,30,70,583,0
37,33,70,584,0
42,28,70,585,0
38,46,84,586,0
32,35,67,587,0
34,26,60,588,0
49,34,83,589,0
37,34,71,590,0
32,28,60,591,0
37,38,75,592,0
34,40,74,593,0
35,30,65,594,0
39,45,84,595,0
44,26,70,596,0
44,34,78,597,0
45,40,85,598,0
40,27,67,599,0
34,31,65,600,0
48,37,85,601,0
42,34,76,602,0
47,35,82,603,0
47,45,92,604,0
41,27,68,605,0
41,48,89,606,0
40,43,83,607,0
47,31,78,608,0
45,47,92,609,0
43,44,87,610,0
42,32,74,611,0
37,20,57,612,0
49,38,87,613,0
48,28,76,614,0
42,48,90,615,0
33,27,60,616,0
46,37,83,617,0
33,22,55,618,0
34,33,67,619,0
50,37,87,620,0
39,32,71,621,0
39,40,79,622,0
37,34,71,623,0
37,35,72,624,0
50,45,95,625,0
26,23,49,626,0
41,22,63,627,0
31,32,63,628,0
48,29,77,629,0
30,32,62,630,0
36,29,65,631,0
36,32,68,632,0
33,34,67,633,0
31,27,58,634,0
57,43,100,635,0
43,37,80,636,0
42,35,77,637,0
44,42,86,638,0
33,26,59,639,0
53,47,100,640,0
37,46,83,641,0
35,23,58,642,0
42,35,77,643,0
40,32,72,644,0
36,38,74,645,0
38,23,61,646,0
36,40,76,647,0
30,28,58,648,0
37,23,60,649,0
50,36,86,650,0
36,35,71,651,0
41,32,73,652,0
42,40,82,653,0
39,34,73,654,0
43,43,86,655,0
34,29,63,656,0
43,37,80,657,0
38,37,75,658,0
35,27,62,659,0
37,19,56,660,0
40,51,91,661,0
42,30,72,662,0
44,34,78,663,0
33,30,63,664,0
35,30,65,665,0
48,36,84,666,0
44,39,83,667,0
45,28,73,668,0
45,34,79,669,0
38,41,79,670,0
31,32,63,671,0
39,43,82,672,0
42,30,72,673,0
37,45,82,674,0
48,28,76,675,0
44,39,83,676,0
41,40,81,677,0
21,26,47,678,0
27,27,54,679,0
44,45,89,680,0
53,37,90,681,0
34,37,71,682,0
48,40,88,683,0
45,33,78,684,0
46,39,85,685,0
37,37,74,686,0
36,33,69,687,0
36,31,67,688,0
49,30,79,689,0
41,44,85,690,0
35,26,61,691,0
44,36,80,692,0
37,28,65,693,0
46,43,89,694,0
40,33,73,695,0
34,36,70,696,0
33,33,66,697,0
34,30,64,698,0
43,38,81,699,0
37,34,71,700,0
46,35,81,701,0
45,48,93,702,0
34,32,66,703,0
41,25,66,704,0
31,30,61,705,0
39,33,72,706,0
38,33,71,707,0
33,33,66,708,0
44,36,80,709,0
32,32,64,710,0
47,37,84,711,0
45,37,82,712,0
30,40,70,713,0
45,36,81,714,0
40,31,71,715,0
38,28,66,716,0
37,37,74,717,0
43,27,70,718,0
48,40,88,719,0
39,31,70,720,0
41,33,74,721,0
42,37,79,722,0
37,35,72,723,0
44,36,80,724,0
29,28,57,725,0
33,27,60,726,0
27,34,61,727,0
40,29,69,728,0
39,33,72,729,0
36,32,68,730,0
38,30,68,731,0
39,42,81,732,0
44,32,76,733,0
35,30,65,734,0
44,36,80,735,0
47,40,87,736,0
44,29,73,737,0
40,32,72,738,0
34,34,68,739,0
45,42,87,740,0
35,36,71,741,0
40,45,85,742,0
40,39,79,743,0
42,29,71,744,0
37,35,72,745,0
39,22,61,746,0
40,21,61,747,0
42,41,83,748,0
34,38,72,749,0
44,35,79,750,0
43,31,74,751,0
46,32,78,752,0
36,37,73,753,0
39,40,79,754,0
38,24,62,755,0
41,31,72,756,0
43,47,90,757,0
43,34,77,758,0
32,39,71,759,0
39,40,79,760,0
47,33,80,761,0
44,45,89,762,0
42,39,81,763,0
43,38,81,764,0
46,38,84,765,0
41,29,70,766,0
35,38,73,767,0
39,31,70,768,0
42,29,71,769,0
37,33,70,770,0
44,30,74,771,0
39,29,68,772,0
41,24,65,773,0
34,25,59,774,0
32,25,57,775,0
32,28,60,776,0
42,37,79,777,0
43,27,70,778,0
38,44,82,779,0
46,37,83,780,0
29,32,61,781,0
36,37,73,782,0
37,38,75,783,0
44,37,81,784,0
45,44,89,785,0
32,25,57,786,0
41,31,72,787,0
49,28,77,788,0
48,41,89,789,0
46,39,85,790,0
39,33,72,791,0
44,29,73,792,0
42,38,80,793,0
40,25,65,794,0
30,39,69,795,0
37,32,69,796,0
32,41,73,797,0
39,35,74,798,0
40,41,81,799,0
52,37,89,800,0
38,45,83,801,0
43,33,76,802,0
41,30,71,803,0
45,41,86,804,0
47,37,84,805,0
49,48,97,806,0
47,34,81,807,0
42,28,70,808,0
38,32,70,809,0
44,38,82,810,0
39,30,69,811,0
45,41,86,812,0
25,28,53,813,0
40,32,72,814,0
43,30,73,815,0
32,38,70,816,0
40,40,80,817,0
41,42,83,818,0
44,29,73,819,0
36,39,75,820,0
39,39,78,821,0
45,27,72,822,0
33,28,61,823,0
42,45,87,824,0
41,39,80,825,0
42,25,67,826,0
43,30,73,827,0
47,35,82,828,0
39,34,73,829,0
35,42,77,830,0
60,43,103,831,0
38,31,69,832,0
34,37,71,833,0
37,33,70,834,0
44,38,82,835,0
36,31,67,836,0
36,35,71,837,0
40,27,67,838,0
46,34,80,839,0
43,23,66,840,0
49,28,77,841,0
39,30,69,842,0
34,35,69,843,0
47,24,71,844,0
42,35,77,845,0
34,27,61,846,0
36,40,76,847,0
34,31,65,848,0
36,38,74,849,0
44,47,91,850,0
29,26,55,851,0
46,39,85,852,0
54,36,90,853,0
41,23,64,854,0
39,32,71,855,0
32,32,64,856,0
33,22,55,857,0
25,27,52,858,0
37,30,67,859,0
40,36,76,860,0
47,31,78,861,0
34,30,64,862,0
30,27,57,863,0
29,23,52,864,0
35,27,62,865,0
45,34,79,866,0
54,28,82,867,0
46,30,76,868,0
51,36,87,869,0
44,34,78,870,0
41,27,68,871,0
34,44,78,872,0
41,33,74,873,0
34,29,63,874,0
36,29,65,875,0
40,32,72,876,0
32,29,61,877,0
38,34,72,878,0
44,39,83,879,0
35,32,67,880,0
39,42,81,881,0
44,40,84,882,0
48,34,82,883,0
37,30,67,884,0
47,43,90,885,0
43,48,91,886,0
42,32,74,887,0
35,24,59,888,0
40,35,75,889,0
35,26,61,890,0
37,33,70,891,0
41,34,75,892,0
53,33,86,893,0
33,35,68,894,0
41,32,73,895,0
43,22,65,896,0
46,25,71,897,0
43,27,70,898,0
34,45,79,899,0
52,39,91,900,0
34,41,75,901,0
47,40,87,902,0
49,26,75,903,0
36,25,61,904,0
28,28,56,905,0
42,31,73,906,0
35,33,68,907,0
49,32,81,908,0
39,40,79,909,0
29,34,63,910,0
51,34,85,911,0
48,32,80,912,0
45,41,86,913,0
34,46,80,914,0
32,35,67,915,0
46,34,80,916,0
33,37,70,917,0
33,21,54,918,0
38,43,81,919,0
35,40,75,920,0
43,32,75,921,0
40,30,70,922,0
39,33,72,923,0
44,34,78,924,0
39,36,75,925,0
47,31,78,926,0
35,29,64,927,0
39,41,80,928,0
34,45,79,929,0
38,33,71,930,0
41,37,78,931,0
43,49,92,932,0
37,34,71,933,0
53,37,90,934,0
34,34,68,935,0
38,33,71,936,0
31,23,54,937,0
33,35,68,938,0
37,30,67,939,0
38,33,71,940,0
