"acq_PA","acq_PE","acq_tot","sim_id","scenario"
6,0,6,1,0
6,1,7,2,0
10,1,11,3,0
13,0,13,4,0
10,1,11,5,0
8,2,10,6,0
12,1,13,7,0
16,0,16,8,0
12,0,12,9,0
10,0,10,10,0
12,0,12,11,0
11,2,13,12,0
18,1,19,13,0
12,0,12,14,0
10,0,10,15,0
15,1,16,16,0
13,0,13,17,0
10,0,10,18,0
8,0,8,19,0
5,1,6,20,0
17,1,18,21,0
12,0,12,22,0
9,4,13,23,0
14,2,16,24,0
11,2,13,25,0
8,0,8,26,0
12,0,12,27,0
14,2,16,28,0
8,2,10,29,0
13,0,13,30,0
7,0,7,31,0
12,0,12,32,0
6,0,6,33,0
17,3,20,34,0
11,2,13,35,0
6,0,6,36,0
4,0,4,37,0
11,0,11,38,0
17,1,18,39,0
14,1,15,40,0
4,1,5,41,0
2,2,4,42,0
10,1,11,43,0
7,1,8,44,0
10,0,10,45,0
11,3,14,46,0
11,0,11,47,0
5,0,5,48,0
7,0,7,49,0
11,1,12,50,0
10,1,11,51,0
12,2,14,52,0
20,1,21,53,0
10,0,10,54,0
9,2,11,55,0
14,0,14,56,0
13,0,13,57,0
14,1,15,58,0
10,3,13,59,0
11,1,12,60,0
14,1,15,61,0
11,2,13,62,0
11,1,12,63,0
7,3,10,64,0
4,1,5,65,0
14,1,15,66,0
14,1,15,67,0
9,3,12,68,0
11,2,13,69,0
12,2,14,70,0
17,1,18,71,0
10,1,11,72,0
10,1,11,73,0
12,3,15,74,0
14,1,15,75,0
14,2,16,76,0
10,0,10,77,0
18,1,19,78,0
14,1,15,79,0
13,2,15,80,0
9,1,10,81,0
10,3,13,82,0
17,3,20,83,0
10,2,12,84,0
10,2,12,85,0
11,3,14,86,0
8,0,8,87,0
10,1,11,88,0
13,0,13,89,0
12,3,15,90,0
11,1,12,91,0
11,2,13,92,0
10,1,11,93,0
7,2,9,94,0
12,2,14,95,0
17,2,19,96,0
16,2,18,97,0
10,3,13,98,0
6,1,7,99,0
11,0,11,100,0
12,1,13,101,0
8,0,8,102,0
9,3,12,103,0
10,0,10,104,0
11,1,12,105,0
12,0,12,106,0
11,1,12,107,0
16,2,18,108,0
10,3,13,109,0
11,0,11,110,0
15,0,15,111,0
14,0,14,112,0
9,1,10,113,0
11,2,13,114,0
12,0,12,115,0
5,1,6,116,0
10,2,12,117,0
15,1,16,118,0
8,0,8,119,0
9,1,10,120,0
12,0,12,121,0
8,0,8,122,0
11,2,13,123,0
5,0,5,124,0
11,1,12,125,0
14,0,14,126,0
11,0,11,127,0
13,1,14,128,0
8,1,9,129,0
14,2,16,130,0
14,0,14,131,0
6,0,6,132,0
12,1,13,133,0
12,0,12,134,0
13,0,13,135,0
14,2,16,136,0
11,0,11,137,0
8,2,10,138,0
11,0,11,139,0
11,1,12,140,0
10,1,11,141,0
7,2,9,142,0
8,1,9,143,0
16,2,18,144,0
9,0,9,145,0
8,2,10,146,0
7,2,9,147,0
11,3,14,148,0
4,0,4,149,0
13,3,16,150,0
10,2,12,151,0
11,2,13,152,0
14,1,15,153,0
10,1,11,154,0
10,1,11,155,0
7,0,7,156,0
12,3,15,157,0
9,1,10,158,0
13,0,13,159,0
14,0,14,160,0
10,2,12,161,0
12,2,14,162,0
14,1,15,163,0
15,2,17,164,0
9,2,11,165,0
14,2,16,166,0
9,1,10,167,0
8,1,9,168,0
10,1,11,169,0
12,0,12,170,0
8,4,12,171,0
13,0,13,172,0
4,1,5,173,0
14,1,15,174,0
8,0,8,175,0
10,0,10,176,0
12,0,12,177,0
8,3,11,178,0
11,1,12,179,0
6,0,6,180,0
4,1,5,181,0
16,1,17,182,0
9,2,11,183,0
10,0,10,184,0
13,0,13,185,0
13,1,14,186,0
11,2,13,187,0
11,0,11,188,0
15,1,16,189,0
16,1,17,190,0
9,0,9,191,0
7,1,8,192,0
11,0,11,193,0
15,0,15,194,0
12,1,13,195,0
8,0,8,196,0
11,3,14,197,0
10,2,12,198,0
8,1,9,199,0
14,2,16,200,0
15,0,15,201,0
12,0,12,202,0
12,1,13,203,0
9,0,9,204,0
8,0,8,205,0
9,0,9,206,0
12,0,12,207,0
13,2,15,208,0
17,1,18,209,0
16,0,16,210,0
11,1,12,211,0
16,5,21,212,0
10,0,10,213,0
4,0,4,214,0
16,3,19,215,0
15,2,17,216,0
12,1,13,217,0
12,0,12,218,0
8,0,8,219,0
12,0,12,220,0
10,2,12,221,0
14,4,18,222,0
15,2,17,223,0
12,0,12,224,0
13,3,16,225,0
14,2,16,226,0
16,1,17,227,0
4,1,5,228,0
15,2,17,229,0
12,1,13,230,0
11,1,12,231,0
12,3,15,232,0
9,1,10,233,0
15,3,18,234,0
5,0,5,235,0
12,1,13,236,0
8,1,9,237,0
14,1,15,238,0
9,2,11,239,0
10,0,10,240,0
13,0,13,241,0
13,2,15,242,0
11,1,12,243,0
7,1,8,244,0
8,0,8,245,0
10,1,11,246,0
14,3,17,247,0
5,0,5,248,0
10,1,11,249,0
6,0,6,250,0
10,0,10,251,0
19,3,22,252,0
9,0,9,253,0
6,1,7,254,0
12,1,13,255,0
16,0,16,256,0
7,1,8,257,0
13,0,13,258,0
12,4,16,259,0
12,1,13,260,0
4,0,4,261,0
13,0,13,262,0
15,3,18,263,0
9,1,10,264,0
3,2,5,265,0
11,0,11,266,0
10,1,11,267,0
13,0,13,268,0
15,0,15,269,0
15,1,16,270,0
12,1,13,271,0
14,2,16,272,0
9,3,12,273,0
16,0,16,274,0
8,2,10,275,0
17,1,18,276,0
14,1,15,277,0
8,4,12,278,0
8,0,8,279,0
14,2,16,280,0
10,2,12,281,0
10,1,11,282,0
6,1,7,283,0
6,0,6,284,0
9,3,12,285,0
10,0,10,286,0
14,1,15,287,0
10,0,10,288,0
10,1,11,289,0
11,2,13,290,0
13,2,15,291,0
10,3,13,292,0
10,1,11,293,0
12,2,14,294,0
15,2,17,295,0
13,1,14,296,0
11,1,12,297,0
15,1,16,298,0
7,3,10,299,0
5,3,8,300,0
8,5,13,301,0
11,2,13,302,0
5,4,9,303,0
7,1,8,304,0
13,0,13,305,0
6,2,8,306,0
13,1,14,307,0
6,0,6,308,0
12,0,12,309,0
12,0,12,310,0
10,2,12,311,0
12,0,12,312,0
13,4,17,313,0
7,0,7,314,0
5,1,6,315,0
10,0,10,316,0
7,1,8,317,0
15,0,15,318,0
17,1,18,319,0
8,1,9,320,0
10,0,10,321,0
10,3,13,322,0
7,0,7,323,0
8,1,9,324,0
19,3,22,325,0
16,3,19,326,0
9,1,10,327,0
11,0,11,328,0
8,1,9,329,0
12,0,12,330,0
15,0,15,331,0
8,0,8,332,0
11,4,15,333,0
11,4,15,334,0
13,2,15,335,0
8,3,11,336,0
8,0,8,337,0
13,0,13,338,0
9,0,9,339,0
19,0,19,340,0
9,1,10,341,0
16,1,17,342,0
19,0,19,343,0
6,0,6,344,0
10,2,12,345,0
15,1,16,346,0
6,0,6,347,0
11,2,13,348,0
11,1,12,349,0
10,0,10,350,0
8,1,9,351,0
11,0,11,352,0
12,2,14,353,0
10,2,12,354,0
15,5,20,355,0
10,3,13,356,0
11,1,12,357,0
10,0,10,358,0
11,2,13,359,0
14,2,16,360,0
15,2,17,361,0
3,3,6,362,0
11,2,13,363,0
14,1,15,364,0
16,2,18,365,0
15,0,15,366,0
9,1,10,367,0
20,2,22,368,0
11,2,13,369,0
9,1,10,370,0
11,1,12,371,0
10,3,13,372,0
9,0,9,373,0
11,1,12,374,0
8,0,8,375,0
7,1,8,376,0
12,1,13,377,0
9,1,10,378,0
12,1,13,379,0
9,2,11,380,0
14,0,14,381,0
7,0,7,382,0
11,1,12,383,0
6,4,10,384,0
9,3,12,385,0
3,1,4,386,0
8,0,8,387,0
12,6,18,388,0
9,1,10,389,0
9,1,10,390,0
11,0,11,391,0
14,2,16,392,0
16,0,16,393,0
13,1,14,394,0
17,2,19,395,0
11,3,14,396,0
10,1,11,397,0
8,0,8,398,0
9,4,13,399,0
12,1,13,400,0
7,1,8,401,0
10,1,11,402,0
8,0,8,403,0
14,2,16,404,0
9,0,9,405,0
7,2,9,406,0
14,0,14,407,0
17,3,20,408,0
7,1,8,409,0
11,2,13,410,0
14,1,15,411,0
7,3,10,412,0
7,0,7,413,0
11,1,12,414,0
11,2,13,415,0
13,2,15,416,0
9,0,9,417,0
11,1,12,418,0
9,1,10,419,0
6,1,7,420,0
11,2,13,421,0
13,0,13,422,0
12,1,13,423,0
14,2,16,424,0
10,1,11,425,0
20,2,22,426,0
14,2,16,427,0
11,2,13,428,0
5,1,6,429,0
7,1,8,430,0
12,1,13,431,0
16,2,18,432,0
13,0,13,433,0
12,1,13,434,0
13,2,15,435,0
15,4,19,436,0
14,0,14,437,0
8,3,11,438,0
6,1,7,439,0
12,1,13,440,0
13,1,14,441,0
12,1,13,442,0
15,1,16,443,0
16,0,16,444,0
7,1,8,445,0
8,1,9,446,0
19,3,22,447,0
6,1,7,448,0
16,2,18,449,0
13,1,14,450,0
13,2,15,451,0
14,1,15,452,0
10,1,11,453,0
8,0,8,454,0
12,5,17,455,0
15,3,18,456,0
13,1,14,457,0
9,0,9,458,0
9,1,10,459,0
9,0,9,460,0
12,1,13,461,0
14,3,17,462,0
9,1,10,463,0
15,5,20,464,0
15,1,16,465,0
12,1,13,466,0
16,1,17,467,0
6,0,6,468,0
11,1,12,469,0
12,2,14,470,0
12,1,13,471,0
9,3,12,472,0
12,2,14,473,0
15,1,16,474,0
9,2,11,475,0
9,1,10,476,0
7,3,10,477,0
12,2,14,478,0
11,0,11,479,0
9,0,9,480,0
9,0,9,481,0
16,4,20,482,0
8,2,10,483,0
10,0,10,484,0
15,1,16,485,0
11,1,12,486,0
10,1,11,487,0
13,1,14,488,0
9,0,9,489,0
13,4,17,490,0
15,0,15,491,0
7,1,8,492,0
10,1,11,493,0
9,1,10,494,0
12,2,14,495,0
9,2,11,496,0
8,2,10,497,0
8,0,8,498,0
11,4,15,499,0
11,1,12,500,0
