"acq_PA","acq_PE","acq_tot","sim_id","scenario"
23,3,26,1,0
26,3,29,2,0
22,1,23,3,0
21,3,24,4,0
21,2,23,5,0
16,2,18,6,0
19,3,22,7,0
20,0,20,8,0
14,4,18,9,0
25,3,28,10,0
19,0,19,11,0
19,3,22,12,0
20,2,22,13,0
19,4,23,14,0
15,1,16,15,0
17,4,21,16,0
16,0,16,17,0
16,7,23,18,0
17,1,18,19,0
27,4,31,20,0
16,4,20,21,0
14,4,18,22,0
23,2,25,23,0
11,5,16,24,0
17,4,21,25,0
28,2,30,26,0
18,3,21,27,0
24,4,28,28,0
22,1,23,29,0
25,3,28,30,0
20,1,21,31,0
21,5,26,32,0
18,4,22,33,0
21,3,24,34,0
17,3,20,35,0
22,2,24,36,0
15,3,18,37,0
30,0,30,38,0
24,2,26,39,0
24,4,28,40,0
22,2,24,41,0
23,2,25,42,0
22,3,25,43,0
17,5,22,44,0
16,3,19,45,0
30,3,33,46,0
27,3,30,47,0
21,4,25,48,0
18,3,21,49,0
21,1,22,50,0
25,5,30,51,0
17,5,22,52,0
16,1,17,53,0
23,5,28,54,0
20,5,25,55,0
28,3,31,56,0
24,3,27,57,0
25,4,29,58,0
17,5,22,59,0
19,2,21,60,0
20,3,23,61,0
19,3,22,62,0
28,5,33,63,0
17,2,19,64,0
17,3,20,65,0
17,4,21,66,0
21,4,25,67,0
24,2,26,68,0
16,1,17,69,0
21,0,21,70,0
25,6,31,71,0
27,0,27,72,0
30,2,32,73,0
22,2,24,74,0
15,1,16,75,0
27,4,31,76,0
22,4,26,77,0
28,2,30,78,0
23,1,24,79,0
21,4,25,80,0
24,2,26,81,0
17,2,19,82,0
19,2,21,83,0
17,1,18,84,0
13,2,15,85,0
21,1,22,86,0
14,3,17,87,0
24,2,26,88,0
28,4,32,89,0
21,1,22,90,0
20,2,22,91,0
16,6,22,92,0
20,3,23,93,0
24,2,26,94,0
14,1,15,95,0
27,2,29,96,0
21,5,26,97,0
22,1,23,98,0
20,3,23,99,0
13,1,14,100,0
21,3,24,101,0
24,2,26,102,0
18,5,23,103,0
22,1,23,104,0
21,4,25,105,0
24,2,26,106,0
28,3,31,107,0
23,4,27,108,0
25,2,27,109,0
22,3,25,110,0
14,2,16,111,0
25,4,29,112,0
26,6,32,113,0
27,2,29,114,0
20,2,22,115,0
22,1,23,116,0
16,0,16,117,0
18,4,22,118,0
24,5,29,119,0
18,2,20,120,0
18,0,18,121,0
22,2,24,122,0
22,3,25,123,0
18,3,21,124,0
16,1,17,125,0
21,3,24,126,0
22,6,28,127,0
20,2,22,128,0
28,2,30,129,0
22,1,23,130,0
20,1,21,131,0
18,4,22,132,0
27,6,33,133,0
21,3,24,134,0
16,1,17,135,0
24,4,28,136,0
20,1,21,137,0
16,1,17,138,0
21,2,23,139,0
25,6,31,140,0
21,2,23,141,0
24,1,25,142,0
14,1,15,143,0
25,4,29,144,0
18,1,19,145,0
24,3,27,146,0
17,3,20,147,0
17,0,17,148,0
22,2,24,149,0
23,4,27,150,0
24,6,30,151,0
25,4,29,152,0
24,2,26,153,0
17,4,21,154,0
27,2,29,155,0
22,2,24,156,0
22,3,25,157,0
23,4,27,158,0
28,5,33,159,0
23,6,29,160,0
26,2,28,161,0
15,1,16,162,0
24,4,28,163,0
25,2,27,164,0
27,9,36,165,0
19,8,27,166,0
20,0,20,167,0
22,2,24,168,0
19,2,21,169,0
21,2,23,170,0
20,2,22,171,0
28,2,30,172,0
19,3,22,173,0
15,1,16,174,0
22,4,26,175,0
22,4,26,176,0
31,2,33,177,0
25,2,27,178,0
25,5,30,179,0
19,5,24,180,0
28,6,34,181,0
29,4,33,182,0
22,3,25,183,0
28,2,30,184,0
12,2,14,185,0
18,2,20,186,0
27,0,27,187,0
23,1,24,188,0
27,1,28,189,0
21,2,23,190,0
27,4,31,191,0
25,0,25,192,0
16,3,19,193,0
18,1,19,194,0
17,2,19,195,0
13,4,17,196,0
20,4,24,197,0
15,1,16,198,0
23,4,27,199,0
14,2,16,200,0
20,5,25,201,0
21,2,23,202,0
22,4,26,203,0
18,3,21,204,0
24,3,27,205,0
22,3,25,206,0
23,4,27,207,0
19,5,24,208,0
20,3,23,209,0
24,4,28,210,0
18,1,19,211,0
30,4,34,212,0
25,4,29,213,0
20,4,24,214,0
30,5,35,215,0
27,2,29,216,0
14,3,17,217,0
22,3,25,218,0
17,6,23,219,0
20,2,22,220,0
25,3,28,221,0
23,1,24,222,0
25,6,31,223,0
25,4,29,224,0
17,1,18,225,0
18,4,22,226,0
34,0,34,227,0
14,5,19,228,0
22,4,26,229,0
24,0,24,230,0
24,5,29,231,0
23,5,28,232,0
16,1,17,233,0
29,1,30,234,0
22,2,24,235,0
22,2,24,236,0
17,0,17,237,0
12,3,15,238,0
23,4,27,239,0
21,9,30,240,0
20,3,23,241,0
28,5,33,242,0
15,2,17,243,0
17,3,20,244,0
19,6,25,245,0
23,1,24,246,0
18,3,21,247,0
16,2,18,248,0
24,5,29,249,0
28,2,30,250,0
14,3,17,251,0
20,2,22,252,0
16,6,22,253,0
25,2,27,254,0
19,3,22,255,0
21,5,26,256,0
17,3,20,257,0
20,2,22,258,0
28,2,30,259,0
22,2,24,260,0
16,3,19,261,0
23,2,25,262,0
22,2,24,263,0
23,5,28,264,0
21,0,21,265,0
16,2,18,266,0
24,7,31,267,0
11,2,13,268,0
21,1,22,269,0
22,1,23,270,0
17,1,18,271,0
18,8,26,272,0
18,2,20,273,0
22,2,24,274,0
16,2,18,275,0
22,0,22,276,0
18,1,19,277,0
14,3,17,278,0
25,3,28,279,0
22,4,26,280,0
21,3,24,281,0
25,4,29,282,0
28,3,31,283,0
20,2,22,284,0
26,3,29,285,0
25,2,27,286,0
22,3,25,287,0
18,2,20,288,0
16,3,19,289,0
20,2,22,290,0
25,4,29,291,0
25,4,29,292,0
26,5,31,293,0
25,3,28,294,0
19,6,25,295,0
21,0,21,296,0
18,3,21,297,0
16,4,20,298,0
20,2,22,299,0
24,4,28,300,0
23,4,27,301,0
18,6,24,302,0
23,2,25,303,0
24,3,27,304,0
26,5,31,305,0
25,2,27,306,0
15,2,17,307,0
23,5,28,308,0
25,4,29,309,0
19,2,21,310,0
24,2,26,311,0
15,3,18,312,0
20,3,23,313,0
20,3,23,314,0
19,2,21,315,0
23,4,27,316,0
26,6,32,317,0
21,4,25,318,0
23,1,24,319,0
27,6,33,320,0
25,4,29,321,0
19,7,26,322,0
17,0,17,323,0
21,3,24,324,0
19,2,21,325,0
25,4,29,326,0
23,4,27,327,0
14,3,17,328,0
14,0,14,329,0
23,5,28,330,0
17,5,22,331,0
26,3,29,332,0
21,6,27,333,0
18,6,24,334,0
19,2,21,335,0
25,8,33,336,0
17,4,21,337,0
33,2,35,338,0
24,3,27,339,0
22,1,23,340,0
24,1,25,341,0
18,6,24,342,0
20,2,22,343,0
15,2,17,344,0
19,7,26,345,0
30,5,35,346,0
27,3,30,347,0
22,0,22,348,0
26,3,29,349,0
23,7,30,350,0
15,0,15,351,0
25,5,30,352,0
22,5,27,353,0
25,2,27,354,0
19,5,24,355,0
25,3,28,356,0
18,0,18,357,0
28,6,34,358,0
22,1,23,359,0
22,3,25,360,0
17,4,21,361,0
25,4,29,362,0
22,1,23,363,0
21,6,27,364,0
19,3,22,365,0
18,1,19,366,0
18,2,20,367,0
20,2,22,368,0
16,3,19,369,0
25,3,28,370,0
25,5,30,371,0
21,4,25,372,0
23,7,30,373,0
25,6,31,374,0
17,4,21,375,0
19,3,22,376,0
21,4,25,377,0
25,2,27,378,0
27,5,32,379,0
27,4,31,380,0
25,1,26,381,0
18,4,22,382,0
16,4,20,383,0
26,5,31,384,0
15,0,15,385,0
22,4,26,386,0
19,2,21,387,0
25,3,28,388,0
22,5,27,389,0
22,2,24,390,0
16,0,16,391,0
20,3,23,392,0
26,4,30,393,0
17,4,21,394,0
18,0,18,395,0
17,2,19,396,0
23,2,25,397,0
27,2,29,398,0
21,2,23,399,0
20,5,25,400,0
22,3,25,401,0
20,4,24,402,0
18,1,19,403,0
19,4,23,404,0
23,5,28,405,0
25,4,29,406,0
25,6,31,407,0
21,2,23,408,0
25,6,31,409,0
17,2,19,410,0
16,3,19,411,0
16,4,20,412,0
25,3,28,413,0
15,4,19,414,0
23,3,26,415,0
21,2,23,416,0
18,4,22,417,0
23,1,24,418,0
27,6,33,419,0
29,1,30,420,0
14,0,14,421,0
32,1,33,422,0
20,4,24,423,0
14,0,14,424,0
18,4,22,425,0
13,2,15,426,0
19,3,22,427,0
21,5,26,428,0
24,2,26,429,0
27,6,33,430,0
23,0,23,431,0
14,4,18,432,0
23,2,25,433,0
28,5,33,434,0
27,2,29,435,0
20,4,24,436,0
18,3,21,437,0
27,6,33,438,0
18,0,18,439,0
18,2,20,440,0
23,4,27,441,0
33,1,34,442,0
14,2,16,443,0
28,2,30,444,0
24,3,27,445,0
19,3,22,446,0
26,3,29,447,0
18,3,21,448,0
17,2,19,449,0
15,1,16,450,0
27,3,30,451,0
24,4,28,452,0
18,7,25,453,0
28,4,32,454,0
23,7,30,455,0
28,4,32,456,0
26,4,30,457,0
15,2,17,458,0
23,1,24,459,0
20,3,23,460,0
18,0,18,461,0
23,4,27,462,0
24,5,29,463,0
14,5,19,464,0
21,2,23,465,0
26,1,27,466,0
22,3,25,467,0
18,1,19,468,0
22,5,27,469,0
18,3,21,470,0
17,3,20,471,0
24,3,27,472,0
24,6,30,473,0
22,6,28,474,0
23,5,28,475,0
18,6,24,476,0
16,4,20,477,0
13,4,17,478,0
24,2,26,479,0
23,4,27,480,0
20,1,21,481,0
18,1,19,482,0
25,3,28,483,0
19,4,23,484,0
16,1,17,485,0
16,1,17,486,0
14,1,15,487,0
32,5,37,488,0
19,4,23,489,0
19,2,21,490,0
21,2,23,491,0
18,3,21,492,0
19,3,22,493,0
18,0,18,494,0
22,5,27,495,0
20,1,21,496,0
24,2,26,497,0
24,2,26,498,0
19,5,24,499,0
20,1,21,500,0
